Transaction_ID,Date,Year,Day_Of_Week,Quarter,Store_ID,Store_Type,Region,City,Product_ID,Product_Category,Product_Subcategory,Brand,Units_Sold,Unit_Price,Discount_Percent,Promotion,Holiday,Inventory_Level,Competitor_Price,Customer_Footfall,Marketing_Spend,Online_Orders,Returns,Customer_Satisfaction,Sales_Amount,Demand_Level
324274,01-01-2026,2026,Thursday,1,ST054,Online Store,East,Phoenix,PR0309,Home & Kitchen,Storage,Zenith,18,159.11,5,No,No,453,178.25,345,2564.36,342,0,3.81,2720.78,High
315924,01-01-2026,2026,Thursday,1,ST025,Supermarket,South,Dallas,PR0433,Groceries,Beverages,Nova,50,12.94,15,Yes,No,471,11.83,628,4834.53,184,2,2.77,527.95,Medium
324496,01-01-2026,2026,Thursday,1,ST017,Supermarket,South,New York,PR0178,Clothing,Women,EcoLife,10,91.44,10,Yes,No,175,94.36,507,4462.73,154,3,4.07,576.07,Medium
312089,01-01-2026,2026,Thursday,1,ST035,Hypermarket,North,Los Angeles,PR0169,Beauty,Skincare,EcoLife,26,32.26,0,No,No,718,35.16,429,927.55,112,0,3.65,838.76,Medium
323734,01-01-2026,2026,Thursday,1,ST018,Supermarket,North,Houston,PR0311,Groceries,Beverages,EcoLife,27,11.53,15,Yes,No,487,11.12,502,2646.01,175,2,4.53,245.01,Low
308973,01-01-2026,2026,Thursday,1,ST037,Convenience Store,South,Dallas,PR0147,Groceries,Dairy,UrbanCo,56,7.14,5,No,No,507,8.3,319,4409.88,32,2,3.99,366.28,Low
324862,01-01-2026,2026,Thursday,1,ST024,Supermarket,East,New York,PR0339,Groceries,Dairy,EcoLife,24,16.52,25,Yes,No,314,12.24,597,4251.41,202,0,3.3,297.36,Low
309318,01-01-2026,2026,Thursday,1,ST008,Online Store,North,Dallas,PR0010,Home & Kitchen,Storage,Apex,23,123.6,20,Yes,No,360,115.77,335,4104.74,407,0,4.17,2274.24,High
305404,01-01-2026,2026,Thursday,1,ST060,Online Store,South,New York,PR0061,Electronics,Accessories,Apex,22,175.35,10,Yes,No,380,190.18,236,3623.35,437,1,3.97,3314.12,High
321185,01-01-2026,2026,Thursday,1,ST017,Online Store,West,Seattle,PR0208,Home & Kitchen,Cookware,Apex,1,216.07,0,No,No,174,212.91,373,823.12,234,0,4.06,216.07,Low
312693,01-01-2026,2026,Thursday,1,ST025,Online Store,East,Atlanta,PR0226,Sports,Sportswear,FreshMart,17,76.44,0,No,No,513,84.51,354,1274.48,270,0,4.5,1299.48,Medium
301461,01-01-2026,2026,Thursday,1,ST088,Supermarket,East,Phoenix,PR0151,Sports,Team Sports,FreshMart,17,57.44,5,Yes,No,372,50.68,421,2511.89,152,0,3.77,927.66,Medium
306264,01-01-2026,2026,Thursday,1,ST001,Online Store,North,Chicago,PR0331,Groceries,Snacks,PrimePlus,26,20.57,20,Yes,No,381,22.21,355,5222.91,359,0,4.15,427.86,Low
319066,01-01-2026,2026,Thursday,1,ST031,Hypermarket,West,Atlanta,PR0080,Clothing,Footwear,FreshMart,18,34.34,15,Yes,No,71,45.95,571,4610.73,93,0,3.78,525.4,Medium
302319,01-01-2026,2026,Thursday,1,ST038,Convenience Store,Central,Chicago,PR0449,Sports,Sportswear,Zenith,13,122.91,10,Yes,No,848,114.76,335,3323.06,147,0,3.65,1438.05,Medium
319871,01-01-2026,2026,Thursday,1,ST041,Supermarket,South,Los Angeles,PR0046,Sports,Sportswear,ValueMax,43,43.74,20,Yes,Yes,519,44.04,645,3935.76,138,1,4.63,1469.66,Medium
303081,01-01-2026,2026,Thursday,1,ST071,Supermarket,East,Houston,PR0024,Clothing,Men,UrbanCo,27,72.35,15,Yes,No,563,66.02,435,3019.84,120,3,3.91,1475.94,Medium
311808,01-01-2026,2026,Thursday,1,ST100,Supermarket,North,Dallas,PR0293,Electronics,Accessories,Apex,7,780.1,25,Yes,No,435,754.88,441,5019.07,97,0,4.58,4095.52,High
323740,01-01-2026,2026,Thursday,1,ST003,Supermarket,Central,Boston,PR0297,Groceries,Beverages,Nova,54,16.34,20,Yes,No,677,17.52,400,3465.1,165,1,4.11,692.82,Medium
302608,01-01-2026,2026,Thursday,1,ST029,Supermarket,East,Atlanta,PR0462,Clothing,Footwear,EcoLife,14,49.27,0,No,No,275,58.18,633,3753.68,111,3,4.58,541.97,Medium
321055,01-01-2026,2026,Thursday,1,ST038,Convenience Store,East,Denver,PR0159,Sports,Sportswear,EcoLife,15,49.1,5,No,No,347,55.03,320,2553.03,36,0,5,699.68,Medium
316895,01-01-2026,2026,Thursday,1,ST077,Convenience Store,East,Atlanta,PR0484,Groceries,Beverages,Zenith,28,21.59,10,Yes,No,493,18.02,514,4791.03,139,2,3.72,505.21,Medium
324989,02-01-2026,2026,Friday,1,ST081,Supermarket,North,Chicago,PR0102,Clothing,Kids,Nova,10,35.82,5,No,No,503,28.46,239,2206.95,111,0,4.17,340.29,Low
314158,02-01-2026,2026,Friday,1,ST006,Convenience Store,Central,Seattle,PR0055,Clothing,Footwear,ValueMax,33,47.84,10,Yes,No,619,44.68,334,4161.11,174,1,4.41,1377.79,Medium
315535,02-01-2026,2026,Friday,1,ST027,Hypermarket,West,Phoenix,PR0035,Electronics,Audio,ValueMax,26,201.96,5,No,No,496,222.62,668,3123.36,91,1,3.47,4796.55,High
308122,02-01-2026,2026,Friday,1,ST062,Convenience Store,East,Phoenix,PR0298,Electronics,Accessories,Zenith,15,286.53,0,No,Yes,457,234.45,488,2767.82,71,0,4.26,4297.95,High
